# basic_probleme_2.json
#
# theta_step | temps (en secondes) algo exact | temps (en secondes) algo glouton | temps generation (en seconde) | nb minimal de defenseurs necessaires
   0.005                  0.65                             0.65                              0.65                                    2
   0.004                  0.81                             0.81                              0.81                                    2
   0.0031416              1.05                             1.05                              1.05                                    2
   0.003                  1.09                             1.09                              1.09                                    2
   0.0028                 1.16                             1.16                              1.16                                    2
   0.0025                 1.28                             1.28                              1.28                                    2
   0.0022                 1.52                             1.52                              1.52                                    2
   0.002                  1.63                             1.63                              1.63                                    2
   0.0018                 1.82                             1.82                              1.82                                    2
   0.0015                 2.11                             2.11                              2.11                                    2
   0.0012                 2.71                             2.70                              2.70                                    2
   0.001                  3.27                             3.27                              3.27                                    2
   0.0008                 4.13                             4.12                              4.12                                    2
   0.0005                 6.64                             6.62                              6.62                                    2
   0.00025               13.45                            13.45                             13.43                                    2
