# basic_probleme_1.json
#
# pos_step | temps total (en secondes) algo exact | temps total(en secondes) algo glouton | temps génération (en secondes) | nb minimal de defenseurs necessaires
    0.28                    0.66                                0.10                                    0.10                             5
    0.25                    0.25                                0.11                                    0.11                             4
    0.22                    2.07                                0.15                                    0.15                             5
    0.2                     0.21                                0.18                                    0.18                             3
    0.19                    0.47                                0.22                                    0.22                             4
    0.18                    0.60                                0.25                                    0.25                             4
    0.17                    0.28                                0.26                                    0.26                             3
    0.16                    0.30                                0.28                                    0.28                             3
    0.15                    0.36                                0.34                                    0.34                             3
    0.14                    0.40                                0.38                                    0.38                             3
    0.13                    0.48                                0.45                                    0.45                             3
    0.12                    0.57                                0.55                                    0.55                             3
    0.11                    0.65                                0.61                                    0.61                             3
    0.1                     0.80                                0.78                                    0.78                             3
    0.08                    1.30                                1.24                                    1.24                             3
    0.05                    3.31                                3.18                                    3.18                             3
    0.03                   10.19                                9.85                                    9.85                             3
